item_id,idx
1000_1,0
1000_2,1
1000_3,2
1000_4,3
1000_5,4
1001_1,5
1001_2,6
1001_3,7
1001_4,8
1001_5,9
1004_1,10
1004_2,11
1004_3,12
1004_4,13
1004_5,14
1005_1,15
1005_2,16
1005_3,17
1005_4,18
1005_5,19
1006_1,20
1006_2,21
1006_3,22
1006_4,23
1006_5,24
1008_1,25
1008_2,26
1008_4,27
1008_5,28
1009_1,29
1009_2,30
1009_3,31
1009_4,32
1009_5,33
100_1,34
100_2,35
100_3,36
100_4,37
100_5,38
1011_2,39
1011_3,40
1013_1,41
1013_2,42
1013_3,43
1013_4,44
1013_5,45
1014_1,46
1014_2,47
1014_3,48
1014_4,49
1014_5,50
1015_1,51
1015_2,52
1015_3,53
1015_4,54
1015_5,55
1017_1,56
1017_2,57
1017_3,58
1017_4,59
1017_5,60
1019_1,61
1019_2,62
1019_4,63
1019_5,64
101_1,65
101_2,66
101_3,67
101_4,68
101_5,69
1020_1,70
1020_2,71
1020_3,72
1020_4,73
1021_1,74
1021_2,75
1021_3,76
1021_4,77
1021_5,78
1027_1,79
1027_2,80
1027_3,81
1027_4,82
1027_5,83
1028_1,84
1028_2,85
1028_3,86
1028_4,87
1028_5,88
1029_1,89
1029_2,90
1029_3,91
1029_4,92
1029_5,93
1032_1,94
1032_2,95
1032_3,96
1032_4,97
1032_5,98
1034_1,99
1034_2,100
1034_3,101
1034_4,102
1034_5,103
1035_1,104
1035_3,105
1035_4,106
1035_5,107
1036_1,108
1036_2,109
1036_3,110
1036_4,111
1036_5,112
1037_1,113
1037_2,114
1037_3,115
1037_4,116
1037_5,117
1038_1,118
1038_2,119
1038_3,120
1038_4,121
1038_5,122
103_1,123
103_2,124
103_3,125
103_4,126
103_5,127
1040_1,128
1040_2,129
1040_3,130
1040_4,131
1040_5,132
1041_1,133
1041_2,134
1041_3,135
1041_4,136
1041_5,137
1042_1,138
1042_2,139
1042_3,140
1042_4,141
1042_5,142
1043_1,143
1043_2,144
1043_3,145
