new_itemID,artistID,variant,original_idx
0,2,1,3882
1,2,2,3883
2,2,3,3884
3,2,4,3885
4,2,5,3886
5,6,1,7221
6,6,2,7222
7,6,3,7223
8,6,4,7224
9,6,5,7225
10,7,1,7558
11,7,2,7559
12,7,3,7560
13,7,5,7561
14,8,1,7939
15,8,2,7940
16,8,4,7941
17,8,5,7942
18,10,1,324
19,10,2,325
20,10,3,326
21,10,4,327
22,10,5,328
23,11,1,720
24,11,3,721
25,11,4,722
26,11,5,723
27,12,1,1015
28,12,2,1016
29,12,3,1017
30,12,4,1018
31,12,5,1019
32,13,1,1266
33,13,2,1267
34,13,3,1268
35,13,4,1269
36,13,5,1270
37,15,1,1801
38,15,2,1802
39,15,3,1803
40,15,4,1804
41,15,5,1805
42,16,1,2028
43,16,2,2029
44,16,3,2030
45,16,4,2031
46,16,5,2032
47,17,1,2320
48,17,2,2321
49,17,3,2322
50,17,4,2323
51,18,1,2660
52,18,2,2661
53,18,3,2662
54,18,4,2663
55,18,5,2664
56,19,1,2964
57,19,2,2965
58,19,3,2966
59,19,4,2967
60,19,5,2968
61,25,1,3729
62,25,2,3730
63,25,3,3731
64,25,4,3732
65,25,5,3733
66,27,1,3794
67,27,2,3795
68,27,3,3796
69,27,4,3797
70,28,1,3827
71,28,2,3828
72,28,3,3829
73,28,4,3830
74,28,5,3831
75,30,1,3937
76,30,2,3938
77,30,3,3939
78,30,4,3940
79,30,5,3941
80,32,1,4032
81,32,2,4033
82,32,3,4034
83,32,4,4035
84,32,5,4036
85,34,1,4095
86,34,2,4096
87,34,3,4097
88,34,4,4098
89,34,5,4099
90,36,1,4165
91,36,2,4166
92,36,3,4167
93,36,4,4168
94,36,5,4169
95,38,1,4228
96,38,2,4229
97,38,3,4230
98,38,4,4231
99,38,5,4232
100,39,1,4250
101,39,2,4251
102,39,3,4252
103,39,4,4253
104,39,5,4254
105,40,1,4284
106,40,2,4285
107,40,3,4286
108,40,4,4287
109,40,5,4288
110,41,1,4489
111,41,2,4490
112,41,3,4491
113,41,4,4492
114,41,5,4493
115,45,1,5118
116,45,2,5119
117,45,3,5120
118,45,4,5121
119,45,5,5122
120,46,1,5244
121,46,2,5245
122,46,3,5246
123,46,4,5247
124,46,5,5248
125,47,1,5409
126,47,2,5410
127,47,3,5411
128,47,4,5412
129,47,5,5413
130,49,1,5690
131,49,2,5691
132,49,3,5692
133,49,4,5693
134,49,5,5694
135,51,1,5952
136,51,2,5953
137,51,3,5954
138,51,4,5955
139,51,5,5956
140,52,1,6099
141,52,2,6100
142,52,3,6101
143,52,4,6102
144,52,5,6103
145,53,1,6200
146,53,2,6201
147,53,3,6202
148,53,4,6203
149,53,5,6204
150,54,1,6370
151,54,2,6371
152,54,3,6372
153,54,4,6373
154,54,5,6374
155,55,1,6408
156,55,2,6409
157,55,3,6410
158,55,4,6411
159,55,5,6412
160,56,1,6511
161,56,2,6512
162,56,3,6513
163,56,4,6514
164,56,5,6515
165,57,1,6591
166,57,2,6592
167,57,3,6593
168,57,4,6594
169,57,5,6595
170,58,1,6673
171,58,2,6674
172,58,3,6675
173,58,4,6676
174,58,5,6677
175,59,1,6774
176,59,2,6775
177,59,3,6776
178,59,4,6777
179,59,5,6778
180,61,1,6988
181,61,2,6989
182,61,3,6990
183,61,4,6991
184,61,5,6992
185,63,1,7060
186,63,2,7061
187,63,3,7062
188,63,4,7063
189,63,5,7064
190,64,1,7080
191,64,2,7081
192,64,4,7082
193,64,5,7083
194,65,1,7089
195,65,2,7090
196,65,3,7091
197,65,4,7092
198,65,5,7093
199,66,1,7110
200,66,2,7111
201,66,3,7112
202,66,4,7113
203,66,5,7114
204,67,1,7127
205,67,2,7128
206,67,3,7129
207,67,4,7130
208,67,5,7131
209,68,1,7172
210,68,2,7173
211,68,3,7174
212,68,4,7175
213,68,5,7176
214,69,1,7216
215,69,2,7217
216,69,3,7218
217,69,4,7219
218,69,5,7220
219,70,1,7266
220,70,2,7267
221,70,3,7268
222,70,4,7269
223,70,5,7270
224,71,1,7308
225,71,2,7309
226,71,3,7310
227,71,4,7311
228,71,5,7312
229,72,1,7347
230,72,2,7348
231,72,3,7349
232,72,4,7350
233,72,5,7351
234,73,1,7381
235,73,2,7382
236,73,3,7383
237,73,4,7384
238,73,5,7385
239,75,1,7430
240,75,2,7431
241,75,3,7432
242,75,4,7433
243,75,5,7434
244,76,1,7454
245,76,2,7455
246,76,3,7456
247,76,4,7457
248,76,5,7458
249,77,1,7483
250,77,2,7484
251,77,3,7485
252,77,4,7486
253,77,5,7487
254,80,1,7597
255,80,2,7598
256,80,3,7599
257,80,4,7600
258,80,5,7601
259,81,1,7640
260,81,2,7641
261,81,3,7642
262,81,4,7643
263,81,5,7644
264,82,2,7678
265,82,3,7679
266,82,4,7680
267,82,5,7681
268,84,1,7744
269,84,2,7745
270,84,3,7746
271,84,4,7747
272,84,5,7748
273,85,1,7783
274,85,2,7784
275,85,3,7785
276,85,4,7786
277,85,5,7787
278,86,1,7837
279,86,2,7838
280,86,3,7839
281,86,4,7840
282,86,5,7841
283,88,1,7906
284,88,2,7907
285,88,3,7908
286,88,4,7909
287,88,5,7910
288,89,1,7934
289,89,2,7935
290,89,3,7936
