old_artistID,new_itemID
2,0
6,1
7,2
8,3
10,4
11,5
12,6
13,7
15,8
16,9
17,10
18,11
19,12
25,13
27,14
28,15
30,16
32,17
34,18
36,19
38,20
39,21
40,22
41,23
45,24
46,25
47,26
49,27
51,28
52,29
53,30
54,31
55,32
56,33
57,34
58,35
59,36
61,37
63,38
64,39
65,40
66,41
67,42
68,43
69,44
70,45
71,46
72,47
73,48
75,49
76,50
77,51
80,52
81,53
82,54
84,55
85,56
86,57
88,58
89,59
90,60
91,61
93,62
100,63
101,64
103,65
107,66
126,67
137,68
138,69
151,70
152,71
153,72
154,73
155,74
156,75
157,76
159,77
161,78
162,79
163,80
165,81
166,82
167,83
170,84
171,85
172,86
173,87
174,88
175,89
176,90
178,91
180,92
181,93
182,94
183,95
184,96
185,97
186,98
187,99
188,100
189,101
190,102
191,103
192,104
193,105
194,106
195,107
196,108
197,109
198,110
199,111
200,112
201,113
202,114
203,115
204,116
205,117
206,118
207,119
208,120
209,121
210,122
211,123
212,124
214,125
215,126
216,127
217,128
218,129
219,130
220,131
221,132
222,133
223,134
225,135
226,136
227,137
228,138
229,139
230,140
231,141
233,142
234,143
235,144
236,145
237,146
238,147
239,148
240,149
241,150
245,151
246,152
247,153
249,154
250,155
251,156
252,157
253,158
256,159
257,160
258,161
261,162
262,163
263,164
265,165
266,166
267,167
268,168
270,169
271,170
276,171
278,172
279,173
283,174
285,175
286,176
287,177
288,178
289,179
290,180
291,181
292,182
293,183
294,184
295,185
296,186
297,187
298,188
299,189
300,190
301,191
302,192
303,193
304,194
305,195
306,196
307,197
308,198
309,199
310,200
311,201
313,202
314,203
316,204
317,205
318,206
320,207
321,208
322,209
323,210
324,211
325,212
326,213
327,214
328,215
329,216
330,217
331,218
332,219
333,220
334,221
340,222
342,223
344,224
346,225
348,226
349,227
350,228
352,229
354,230
355,231
356,232
357,233
359,234
360,235
362,236
364,237
366,238
367,239
369,240
370,241
371,242
374,243
376,244
377,245
378,246
383,247
384,248
386,249
388,250
389,251
390,252
393,253
396,254
399,255
400,256
403,257
405,258
407,259
408,260
409,261
412,262
413,263
416,264
418,265
419,266
420,267
421,268
422,269
423,270
424,271
425,272
426,273
427,274
428,275
429,276
430,277
431,278
432,279
433,280
434,281
436,282
437,283
438,284
439,285
440,286
441,287
442,288
443,289
444,290
445,291
446,292
447,293
448,294
450,295
453,296
454,297
455,298
456,299
457,300
458,301
459,302
460,303
461,304
463,305
464,306
465,307
466,308
467,309
468,310
469,311
471,312
472,313
474,314
475,315
476,316
477,317
479,318
481,319
482,320
484,321
485,322
487,323
488,324
489,325
490,326
491,327
492,328
493,329
494,330
497,331
498,332
499,333
500,334
501,335
502,336
503,337
504,338
506,339
507,340
510,341
511,342
512,343
514,344
515,345
516,346
517,347
518,348
519,349
521,350
522,351
523,352
524,353
525,354
526,355
527,356
528,357
529,358
530,359
531,360
532,361
533,362
534,363
535,364
536,365
537,366
538,367
539,368
540,369
541,370
542,371
543,372
544,373
545,374
546,375
547,376
548,377
554,378
562,379
563,380
565,381
567,382
569,383
570,384
572,385
575,386
576,387
578,388
580,389
581,390
582,391
583,392
585,393
591,394
592,395
599,396
601,397
602,398
603,399
604,400
605,401
606,402
607,403
609,404
610,405
612,406
613,407
614,408
615,409
616,410
617,411
618,412
619,413
620,414
621,415
622,416
625,417
627,418
629,419
630,420
631,421
632,422
635,423
637,424
641,425
644,426
646,427
652,428
660,429
661,430
669,431
676,432
679,433
680,434
681,435
682,436
683,437
685,438
686,439
687,440
688,441
689,442
690,443
691,444
692,445
693,446
694,447
696,448
697,449
699,450
701,451
703,452
704,453
705,454
706,455
707,456
708,457
709,458
710,459
711,460
712,461
714,462
715,463
716,464
717,465
718,466
720,467
722,468
724,469
725,470
726,471
727,472
728,473
730,474
732,475
733,476
734,477
735,478
737,479
744,480
747,481
748,482
749,483
751,484
752,485
754,486
755,487
756,488
757,489
759,490
763,491
767,492
768,493
769,494
770,495
772,496
777,497
778,498
779,499
782,500
785,501
786,502
787,503
788,504
789,505
790,506
791,507
792,508
793,509
794,510
795,511
797,512
798,513
800,514
802,515
804,516
805,517
806,518
808,519
809,520
810,521
811,522
812,523
813,524
814,525
815,526
816,527
818,528
820,529
821,530
823,531
824,532
825,533
826,534
829,535
830,536
831,537
832,538
834,539
835,540
837,541
839,542
840,543
841,544
842,545
843,546
845,547
846,548
850,549
851,550
852,551
854,552
856,553
857,554
858,555
859,556
860,557
861,558
862,559
863,560
864,561
865,562
866,563
867,564
868,565
869,566
871,567
874,568
875,569
877,570
878,571
880,572
881,573
882,574
883,575
885,576
886,577
887,578
889,579
891,580
895,581
896,582
898,583
899,584
900,585
901,586
903,587
905,588
906,589
907,590
908,591
909,592
910,593
911,594
912,595
913,596
914,597
915,598
917,599
918,600
919,601
920,602
922,603
923,604
924,605
928,606
930,607
931,608
932,609
936,610
937,611
942,612
943,613
944,614
945,615
946,616
947,617
951,618
952,619
953,620
955,621
1000,622
1001,623
1004,624
1005,625
1006,626
1008,627
1009,628
1011,629
1013,630
1014,631
1015,632
1017,633
1019,634
1020,635
1021,636
1027,637
1028,638
1029,639
1032,640
1034,641
1035,642
1036,643
1037,644
1038,645
1040,646
1041,647
1042,648
1043,649
1044,650
1045,651
1046,652
1047,653
1048,654
1051,655
1053,656
1054,657
1055,658
1057,659
1059,660
1061,661
1062,662
1064,663
1066,664
1067,665
1069,666
1072,667
1073,668
1075,669
1076,670
1079,671
1081,672
1083,673
1085,674
1089,675
1090,676
1091,677
1092,678
1093,679
1094,680
1095,681
1097,682
1098,683
1099,684
1100,685
1101,686
1103,687
1104,688
1105,689
1106,690
1107,691
1109,692
1110,693
1112,694
1113,695
1114,696
1116,697
1117,698
1118,699
1119,700
1121,701
1122,702
1123,703
1124,704
1126,705
1127,706
1130,707
1131,708
1132,709
1133,710
1134,711
1135,712
1142,713
1143,714
1145,715
1146,716
1148,717
1150,718
1151,719
1154,720
1155,721
1156,722
1159,723
1160,724
1162,725
1163,726
1164,727
1167,728
1171,729
1177,730
1179,731
1180,732
1181,733
1182,734
1183,735
1184,736
1185,737
1186,738
1187,739
1188,740
1189,741
1190,742
1191,743
1192,744
1193,745
1194,746
1195,747
1196,748
1197,749
1198,750
1200,751
1201,752
1202,753
1203,754
1205,755
1206,756
1207,757
1210,758
1213,759
1214,760
1216,761
1220,762
1221,763
1222,764
1225,765
1226,766
1227,767
1229,768
1231,769
1237,770
1239,771
1240,772
1241,773
1242,774
1243,775
1244,776
1246,777
1247,778
1248,779
1249,780
1253,781
1254,782
1257,783
1259,784
1260,785
1261,786
1263,787
1264,788
1270,789
1274,790
1276,791
1277,792
1281,793
1285,794
1292,795
1293,796
1294,797
1295,798
1296,799
1297,800
1298,801
1299,802
1300,803
1303,804
1306,805
1312,806
1315,807
1332,808
1337,809
1338,810
1339,811
1342,812
1343,813
1344,814
1347,815
1348,816
1349,817
1350,818
1351,819
1352,820
1353,821
1358,822
1360,823
1364,824
1366,825
1369,826
1372,827
1375,828
1376,829
1377,830
1378,831
1379,832
1380,833
1381,834
1382,835
1383,836
1384,837
1385,838
1389,839
1390,840
1392,841
1394,842
1395,843
1396,844
1397,845
1398,846
1399,847
1400,848
1401,849
1402,850
1405,851
1406,852
1408,853
1409,854
1410,855
1411,856
1412,857
1414,858
1415,859
1416,860
1418,861
1421,862
1422,863
1424,864
1425,865
1426,866
1427,867
1428,868
1429,869
1430,870
1432,871
1433,872
